Period,CA,Payment,Interest,RC,CR
1,100000.0,2336.818810739907,0.0,2336.818810739907,97663.1811892601
2,97663.1811892601,2336.818810739907,488.3159059463005,1848.5029047936064,95814.67828446648
3,95814.67828446648,2336.818810739907,479.0733914223324,1857.7454193175745,93956.9328651489
4,93956.9328651489,2336.818810739907,469.78466432574453,1867.0341464141625,92089.89871873474
5,92089.89871873474,2336.818810739907,460.4494935936737,1876.3693171462332,90213.5294015885
6,90213.5294015885,2336.818810739907,451.0676470079425,1885.7511637319644,88327.77823785653
7,88327.77823785653,2336.818810739907,441.6388911892827,1895.1799195506242,86432.59831830591
8,86432.59831830591,2336.818810739907,432.1629915915296,1904.6558191483773,84527.94249915754
9,84527.94249915754,2336.818810739907,422.6397124957877,1914.1790982441191,82613.76340091342
10,82613.76340091342,2336.818810739907,413.0688170045671,1923.7499937353398,80690.01340717808
11,80690.01340717808,2336.818810739907,403.4500670358904,1933.3687437040164,78756.64466347406
12,78756.64466347406,2336.818810739907,393.7832233173703,1943.0355874225365,76813.60907605152
13,76813.60907605152,2336.818810739907,384.0680453802576,1952.7507653596492,74860.85831069187
14,74860.85831069187,2336.818810739907,374.30429155345934,1962.5145191864476,72898.34379150542
15,72898.34379150542,2336.818810739907,364.4917189575271,1972.3270917823797,70926.01669972304
16,70926.01669972304,2336.818810739907,354.6300834986152,1982.1887272412916,68943.82797248175
17,68943.82797248175,2336.818810739907,344.7191398624088,1992.099670877498,66951.72830160426
18,66951.72830160426,2336.818810739907,334.7586415080213,2002.0601692318855,64949.668132372375
19,64949.668132372375,2336.818810739907,324.7483406618619,2012.070470078045,62937.59766229433
20,62937.59766229433,2336.818810739907,314.68798831147166,2022.1308224284353,60915.46683986589
21,60915.46683986589,2336.818810739907,304.57733419932947,2032.2414765405774,58883.22536332531
22,58883.22536332531,2336.818810739907,294.41612681662656,2042.4026839232804,56840.82267940203
23,56840.82267940203,2336.818810739907,284.20411339701013,2052.6146973428968,54788.20798205913
24,54788.20798205913,2336.818810739907,273.9410399102957,2062.877770829611,52725.33021122952
25,52725.33021122952,2336.818810739907,263.6266510561476,2073.192159683759,50652.138051545764
26,50652.138051545764,2336.818810739907,253.26069025772884,2083.558120482178,48568.579931063585
27,48568.579931063585,2336.818810739907,242.84289965531792,2093.975911084589,46474.60401997899
28,46474.60401997899,2336.818810739907,232.37302009989497,2104.445790640012,44370.15822933898
29,44370.15822933898,2336.818810739907,221.85079114669492,2114.968019593212,42255.19020974577
30,42255.19020974577,2336.818810739907,211.27595104872887,2125.542859691178,40129.64735005459
31,40129.64735005459,2336.818810739907,200.64823675027296,2136.170573989634,37993.476776064956
32,37993.476776064956,2336.818810739907,189.96738388032477,2146.8514268595823,35846.62534920537
33,35846.62534920537,2336.818810739907,179.23312674602687,2157.58568399388,33689.039665211494
34,33689.039665211494,2336.818810739907,168.44519832605747,2168.3736124138495,31520.666052797646
35,31520.666052797646,2336.818810739907,157.60333026398823,2179.215480475919,29341.450572321726
36,29341.450572321726,2336.818810739907,146.70725286160862,2190.1115578782983,27151.339014443427
37,27151.339014443427,2336.818810739907,135.75669507221713,2201.06211566769,24950.276898775737
38,24950.276898775737,2336.818810739907,124.75138449387869,2212.0674262460284,22738.20947252971
39,22738.20947252971,2336.818810739907,113.69104736264855,2223.1277633772584,20515.08170915245
40,20515.08170915245,2336.818810739907,102.57540854576226,2234.2434021941444,18280.838306958307
41,18280.838306958307,2336.818810739907,91.40419153479154,2245.4146192051153,16035.423687753191
42,16035.423687753191,2336.818810739907,80.17711843876596,2256.641692301141,13778.78199545205
43,13778.78199545205,2336.818810739907,68.89390997726025,2267.9249007626468,11510.857094689403
44,11510.857094689403,2336.818810739907,57.55428547344702,2279.2645252664597,9231.592569422945
45,9231.592569422945,2336.818810739907,46.157962847114725,2290.6608478927924,6940.931721530153
46,6940.931721530153,2336.818810739907,34.704658607650764,2302.114152132256,4638.8175693978965
47,4638.8175693978965,2336.818810739907,23.194087846989483,2313.6247228929174,2325.192846504979
48,2325.192846504979,2336.818810739907,11.625964232524895,2325.192846507382,-2.4028850020840764e-09
