Period,CA,Payment,Interest,RC,CR
1,100000.0,2403.9143840405445,600.0,1803.9143840405445,98196.08561595946
2,98196.08561595946,2403.9143840405445,589.1765136957567,1814.7378703447878,96381.34774561466
3,96381.34774561466,2403.9143840405445,578.288086473688,1825.6262975668565,94555.72144804781
4,94555.72144804781,2403.9143840405445,567.3343286882869,1836.5800553522577,92719.14139269556
5,92719.14139269556,2403.9143840405445,556.3148483561733,1847.5995356843712,90871.54185701118
6,90871.54185701118,2403.9143840405445,545.2292511420671,1858.6851328984774,89012.8567241127
7,89012.8567241127,2403.9143840405445,534.0771403446762,1869.8372436958684,87143.01948041683
8,87143.01948041683,2403.9143840405445,522.858116882501,1881.0562671580435,85261.96321325879
9,85261.96321325879,2403.9143840405445,511.57177927955274,1892.342604760992,83369.62060849779
10,83369.62060849779,2403.9143840405445,500.2177236509867,1903.6966603895578,81465.92394810823
11,81465.92394810823,2403.9143840405445,488.7955436886494,1915.1188403518952,79550.80510775634
12,79550.80510775634,2403.9143840405445,477.30483064653805,1926.6095533940065,77624.19555436233
13,77624.19555436233,2403.9143840405445,465.745173326174,1938.1692107143706,75686.02634364796
14,75686.02634364796,2403.9143840405445,454.11615806188775,1949.7982259786568,73736.2281176693
15,73736.2281176693,2403.9143840405445,442.41736870601585,1961.4970153345287,71774.73110233477
16,71774.73110233477,2403.9143840405445,430.64838661400864,1973.265997426536,69801.46510490823
17,69801.46510490823,2403.9143840405445,418.8087906294494,1985.105593411095,67816.35951149714
18,67816.35951149714,2403.9143840405445,406.89815706898287,1997.0162269715615,65819.34328452557
19,65819.34328452557,2403.9143840405445,394.91605970715347,2008.998324333391,63810.34496019218
20,63810.34496019218,2403.9143840405445,382.8620697611531,2021.0523142793913,61789.29264591279
21,61789.29264591279,2403.9143840405445,370.73575587547674,2033.1786281650677,59756.11401774772
22,59756.11401774772,2403.9143840405445,358.53668410648635,2045.3776999340582,57710.736317813666
23,57710.736317813666,2403.9143840405445,346.264417906882,2057.6499661336625,55653.08635168
24,55653.08635168,2403.9143840405445,333.91851811008,2069.9958659304643,53583.09048574954
25,53583.09048574954,2403.9143840405445,321.49854291449725,2082.4158411260473,51500.67464462349
26,51500.67464462349,2403.9143840405445,309.00404786774095,2094.9103361728035,49405.764308450685
27,49405.764308450685,2403.9143840405445,296.43458585070414,2107.4797981898405,47298.28451026085
28,47298.28451026085,2403.9143840405445,283.7897070615651,2120.1246769789796,45178.15983328187
29,45178.15983328187,2403.9143840405445,271.06895899969123,2132.845425040853,43045.314408241014
30,43045.314408241014,2403.9143840405445,258.2718864494461,2145.6424975910986,40899.671910649915
31,40899.671910649915,2403.9143840405445,245.39803146389949,2158.516352576645,38741.15555807327
32,38741.15555807327,2403.9143840405445,232.44693334843961,2171.467450692105,36569.68810738116
33,36569.68810738116,2403.9143840405445,219.41812864428695,2184.4962553962578,34385.1918519849
34,34385.1918519849,2403.9143840405445,206.3111511119094,2197.603232928635,32187.588619056263
35,32187.588619056263,2403.9143840405445,193.1255317143376,2210.788852326207,29976.799766730055
36,29976.799766730055,2403.9143840405445,179.86079860038032,2224.053585440164,27752.74618128989
37,27752.74618128989,2403.9143840405445,166.51647708773936,2237.397906952805,25515.348274337084
38,25515.348274337084,2403.9143840405445,153.09208964602252,2250.822294394522,23264.525979942562
39,23264.525979942562,2403.9143840405445,139.58715587965537,2264.3272281608893,21000.198751781674
40,21000.198751781674,2403.9143840405445,126.00119251069005,2277.9131915298544,18722.28556025182
41,18722.28556025182,2403.9143840405445,112.33371336151093,2291.5806706790336,16430.704889572786
42,16430.704889572786,2403.9143840405445,98.58422933743671,2305.330154703108,14125.374734869678
43,14125.374734869678,2403.9143840405445,84.75224840921807,2319.1621356313262,11806.212599238352
44,11806.212599238352,2403.9143840405445,70.83727559543011,2333.0771084451144,9473.135490793236
45,9473.135490793236,2403.9143840405445,56.83881294475942,2347.075571095785,7126.059919697451
46,7126.059919697451,2403.9143840405445,42.75635951818471,2361.15802452236,4764.901895175091
47,4764.901895175091,2403.9143840405445,28.58941137105055,2375.324972669494,2389.5769225055974
48,2389.5769225055974,2403.9143840405445,14.337461535033585,2389.576922505511,8.640199666842818e-11
